threshold,accuracy,balanced_accuracy,bad_loan_precision,bad_loan_recall,bad_loan_f1,good_loan_recall,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.2,0.43974241030358785,0.5901738758611871,0.349469352393329,0.9749244712990937,0.5145089285714285,0.20542328042328042,0.7945767195767196,0.025075528700906343,3227,1553,6007,83
0.25,0.48518859245630175,0.6158824070077846,0.36672108208955223,0.9501510574018127,0.5291940097593807,0.2816137566137566,0.7183862433862434,0.04984894259818731,3145,2129,5431,165
0.3,0.5225390984360626,0.6356009926629262,0.3825293676580855,0.924773413897281,0.5411951909476662,0.3464285714285714,0.6535714285714286,0.07522658610271904,3061,2619,4941,249
0.35,0.5589696412143514,0.6544883629853419,0.4001883239171375,0.8987915407854985,0.5537974683544303,0.4101851851851852,0.5898148148148148,0.10120845921450151,2975,3101,4459,335
0.4,0.596688132474701,0.6691215492575009,0.4202080237741456,0.854380664652568,0.5633466135458167,0.4838624338624339,0.5161375661375661,0.14561933534743202,2828,3658,3902,482
0.45,0.6322907083716651,0.6766288623539378,0.4419469325671793,0.7900302114803626,0.5668147827029371,0.5632275132275132,0.43677248677248676,0.20996978851963746,2615,4258,3302,695
0.5,0.6648574057037718,0.6805099985613581,0.4673721340388007,0.7205438066465257,0.5669796743135624,0.6404761904761904,0.3595238095238095,0.2794561933534743,2385,4842,2718,925
0.55,0.6937442502299908,0.6783488386962707,0.49776417980701343,0.6389728096676737,0.5595978304008467,0.7177248677248678,0.2822751322751323,0.3610271903323263,2115,5426,2134,1195
0.6,0.7129714811407544,0.6613456896689525,0.5286662643331321,0.5293051359516616,0.5289855072463768,0.7933862433862434,0.2066137566137566,0.4706948640483384,1752,5998,1562,1558
0.65,0.7299908003679852,0.6413965216835307,0.5790805567271193,0.4148036253776435,0.4833656046470692,0.867989417989418,0.13201058201058202,0.5851963746223565,1373,6562,998,1937
0.7,0.7302667893284268,0.6083063587972953,0.6193181818181818,0.2963746223564955,0.4008990600735594,0.9202380952380952,0.07976190476190476,0.7036253776435045,981,6957,603,2329
0.75,0.7252989880404784,0.5775605828098275,0.6623246492985972,0.19969788519637463,0.30687093779015784,0.9554232804232804,0.044576719576719576,0.8003021148036253,661,7223,337,2649
0.8,0.7153633854645814,0.5428187790725555,0.7368421052631579,0.1015105740181269,0.17843866171003717,0.9841269841269841,0.015873015873015872,0.8984894259818731,336,7440,120,2974
