Feature,CorrelationWithBorrowerAPR,AbsCorrelation
EstimatedLoss,0.9495375016817053,0.9495375016817053
ProsperScore,-0.6682871968922681,0.6682871968922681
CreditScoreRangeLower,-0.4297073220587624,0.4297073220587624
LoanOriginalAmount,-0.32288668996967734,0.32288668996967734
BankcardUtilization,0.2614380402519338,0.2614380402519338
DelinquenciesLast7Years,0.1622253910188805,0.1622253910188805
CurrentDelinquencies,0.14940393564399154,0.14940393564399154
InquiriesLast6Months,0.14611930770966483,0.14611930770966483
ProsperPaymentsLessThanOneMonthLate,0.09103391705511829,0.09103391705511829
DebtToIncomeRatio,0.05632741744354539,0.05632741744354539
ProsperPaymentsOneMonthPlusLate,0.05534545353868292,0.05534545353868292
TotalTrades,-0.04189387483726022,0.04189387483726022
TotalProsperLoans,-0.04146684115129977,0.04146684115129977
Term,-0.011183468547650958,0.011183468547650958
